Summary

Total Wins:  [10877, 16180, 15845, 16433, 14703, 16483, 15822, 16523, 15968, 15527, 13891, 16364, 15852, 15370, 15888, 16616, 16557, 15713, 15452, 15631, 16375, 14000, 15232, 15842, 16304, 15893, 16519, 14943, 16247, 15923, 16225, 10802]
Worst Competitor:  [16, 16, 1, 1, 2, 2, 3, 3, 20, 20, 5, 5, 22, 6, 7, 7, 24, 24, 25, 9, 26, 26, 11, 11, 28, 28, 29, 29, 30, 30, 15, 15]
Wins vs. Worst:  [33, 61, 303, 328, 333, 350, 332, 337, 318, 286, 232, 257, 339, 286, 312, 329, 324, 339, 305, 314, 244, 250, 287, 274, 334, 330, 327, 322, 292, 337, 64, 24]

Matchups

['0', '0', '0', '0', '1']  vs.  ['1', '1', '0', '1', '0']  Result:  496 - 504 - 0
['0', '0', '0', '0', '1']  vs.  ['1', '1', '0', '1', '1']  Result:  523 - 477 - 0
['0', '0', '0', '0', '1']  vs.  ['1', '1', '1', '0', '0']  Result:  457 - 543 - 0
['0', '0', '0', '0', '1']  vs.  ['1', '1', '1', '0', '1']  Result:  532 - 468 - 0
['0', '0', '0', '0', '1']  vs.  ['1', '1', '1', '1', '0']  Result:  500 - 500 - 0
['0', '0', '0', '0', '1']  vs.  ['1', '1', '1', '1', '1']  Result:  652 - 348 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '0', '0', '1', '1']  Result:  525 - 475 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '0', '1', '0', '0']  Result:  667 - 333 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '0', '1', '0', '1']  Result:  650 - 350 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '0', '1', '1', '0']  Result:  468 - 532 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '0', '1', '1', '1']  Result:  500 - 500 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '1', '0', '0', '0']  Result:  451 - 549 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '1', '0', '0', '1']  Result:  594 - 406 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '1', '0', '1', '0']  Result:  624 - 376 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '1', '0', '1', '1']  Result:  547 - 453 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '1', '1', '0', '0']  Result:  484 - 516 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '1', '1', '0', '1']  Result:  544 - 456 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '1', '1', '1', '0']  Result:  520 - 480 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '1', '1', '1', '1']  Result:  509 - 491 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '0', '0', '0', '0']  Result:  409 - 591 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '0', '0', '0', '1']  Result:  375 - 625 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '0', '0', '1', '0']  Result:  541 - 459 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '0', '0', '1', '1']  Result:  557 - 443 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '0', '1', '0', '0']  Result:  465 - 535 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '0', '1', '0', '1']  Result:  580 - 420 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '0', '1', '1', '0']  Result:  531 - 469 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '0', '1', '1', '1']  Result:  520 - 480 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '1', '0', '0', '0']  Result:  349 - 651 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '1', '0', '0', '1']  Result:  497 - 503 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '1', '0', '1', '0']  Result:  457 - 543 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '1', '0', '1', '1']  Result:  541 - 459 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '1', '1', '0', '0']  Result:  428 - 572 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '1', '1', '0', '1']  Result:  509 - 491 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '1', '1', '1', '0']  Result:  461 - 539 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '1', '1', '1', '1']  Result:  642 - 358 - 0
['0', '0', '0', '1', '1']  vs.  ['0', '0', '1', '0', '0']  Result:  521 - 479 - 0
['0', '0', '0', '1', '1']  vs.  ['0', '0', '1', '0', '1']  Result:  517 - 483 - 0
['0', '0', '0', '1', '1']  vs.  ['0', '0', '1', '1', '0']  Result:  668 - 332 - 0
['0', '0', '0', '1', '1']  vs.  ['0', '0', '1', '1', '1']  Result:  663 - 337 - 0
['0', '0', '0', '1', '1']  vs.  ['0', '1', '0', '0', '0']  Result:  394 - 606 - 0
['0', '0', '0', '1', '1']  vs.  ['0', '1', '0', '0', '1']  Result:  500 - 500 - 0
['0', '0', '0', '1', '1']  vs.  ['0', '1', '0', '1', '0']  Result:  545 - 455 - 0
['0', '0', '0', '1', '1']  vs.  ['0', '1', '0', '1', '1']  Result:  504 - 496 - 0
['0', '0', '0', '1', '1']  vs.  ['0', '1', '1', '0', '0']  Result:  564 - 436 - 0
['0', '0', '0', '1', '1']  vs.  ['0', '1', '1', '0', '1']  Result:  589 - 411 - 0
['0', '0', '0', '1', '1']  vs.  ['0', '1', '1', '1', '0']  Result:  560 - 440 - 0
['0', '0', '0', '1', '1']  vs.  ['0', '1', '1', '1', '1']  Result:  591 - 409 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '0', '0', '0', '0']  Result:  382 - 618 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '0', '0', '0', '1']  Result:  389 - 611 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '0', '0', '1', '0']  Result:  542 - 458 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '0', '0', '1', '1']  Result:  541 - 459 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '0', '1', '0', '0']  Result:  457 - 543 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '0', '1', '0', '1']  Result:  596 - 404 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '0', '1', '1', '0']  Result:  553 - 447 - 0
