Summary

Total Wins:  [107988, 162212, 158256, 163513, 148344, 164440, 158836, 164882, 158724, 153179, 139874, 164203, 158361, 153440, 158134, 166728, 165760, 158441, 153692, 158263, 163938, 139995, 153317, 158933, 164092, 157776, 163866, 148047, 163549, 158157, 162796, 108264]
Worst Competitor:  [16, 16, 1, 1, 2, 2, 3, 3, 20, 20, 5, 5, 22, 6, 7, 7, 24, 24, 25, 9, 26, 26, 11, 11, 28, 28, 29, 29, 30, 30, 15, 15]
Wins vs. Worst:  [329, 643, 3286, 3330, 3427, 3286, 3387, 3389, 2913, 2892, 2353, 2648, 3542, 3042, 3325, 3328, 3365, 3319, 3134, 3451, 2730, 2260, 2986, 2863, 3303, 3340, 3322, 3394, 3302, 3327, 640, 292]

Matchups

['0', '0', '0', '0', '1']  vs.  ['1', '1', '0', '0', '0']  Result:  3793 - 6207 - 0
['0', '0', '0', '0', '1']  vs.  ['1', '1', '0', '0', '1']  Result:  5279 - 4721 - 0
['0', '0', '0', '0', '1']  vs.  ['1', '1', '0', '1', '0']  Result:  4985 - 5015 - 0
['0', '0', '0', '0', '1']  vs.  ['1', '1', '0', '1', '1']  Result:  5617 - 4383 - 0
['0', '0', '0', '0', '1']  vs.  ['1', '1', '1', '0', '0']  Result:  4645 - 5355 - 0
['0', '0', '0', '0', '1']  vs.  ['1', '1', '1', '0', '1']  Result:  5223 - 4777 - 0
['0', '0', '0', '0', '1']  vs.  ['1', '1', '1', '1', '0']  Result:  5022 - 4978 - 0
['0', '0', '0', '0', '1']  vs.  ['1', '1', '1', '1', '1']  Result:  6717 - 3283 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '0', '0', '1', '1']  Result:  5061 - 4939 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '0', '1', '0', '0']  Result:  6573 - 3427 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '0', '1', '0', '1']  Result:  6714 - 3286 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '0', '1', '1', '0']  Result:  4983 - 5017 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '0', '1', '1', '1']  Result:  5076 - 4924 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '1', '0', '0', '0']  Result:  4533 - 5467 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '1', '0', '0', '1']  Result:  6052 - 3948 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '1', '0', '1', '0']  Result:  6253 - 3747 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '1', '0', '1', '1']  Result:  5744 - 4256 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '1', '1', '0', '0']  Result:  4647 - 5353 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '1', '1', '0', '1']  Result:  5321 - 4679 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '1', '1', '1', '0']  Result:  4922 - 5078 - 0
['0', '0', '0', '1', '0']  vs.  ['0', '1', '1', '1', '1']  Result:  4984 - 5016 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '0', '0', '0', '0']  Result:  3754 - 6246 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '0', '0', '0', '1']  Result:  3746 - 6254 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '0', '0', '1', '0']  Result:  5275 - 4725 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '0', '0', '1', '1']  Result:  5367 - 4633 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '0', '1', '0', '0']  Result:  4576 - 5424 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '0', '1', '0', '1']  Result:  5901 - 4099 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '0', '1', '1', '0']  Result:  5338 - 4662 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '0', '1', '1', '1']  Result:  5306 - 4694 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '1', '0', '0', '0']  Result:  3480 - 6520 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '1', '0', '0', '1']  Result:  5027 - 4973 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '1', '0', '1', '0']  Result:  4734 - 5266 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '1', '0', '1', '1']  Result:  5327 - 4673 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '1', '1', '0', '0']  Result:  4340 - 5660 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '1', '1', '0', '1']  Result:  5009 - 4991 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '1', '1', '1', '0']  Result:  4667 - 5333 - 0
['0', '0', '0', '1', '0']  vs.  ['1', '1', '1', '1', '1']  Result:  6398 - 3602 - 0
['0', '0', '0', '1', '1']  vs.  ['0', '0', '1', '0', '0']  Result:  4975 - 5025 - 0
['0', '0', '0', '1', '1']  vs.  ['0', '0', '1', '0', '1']  Result:  4965 - 5035 - 0
['0', '0', '0', '1', '1']  vs.  ['0', '0', '1', '1', '0']  Result:  6613 - 3387 - 0
['0', '0', '0', '1', '1']  vs.  ['0', '0', '1', '1', '1']  Result:  6611 - 3389 - 0
['0', '0', '0', '1', '1']  vs.  ['0', '1', '0', '0', '0']  Result:  3882 - 6118 - 0
['0', '0', '0', '1', '1']  vs.  ['0', '1', '0', '0', '1']  Result:  5299 - 4701 - 0
['0', '0', '0', '1', '1']  vs.  ['0', '1', '0', '1', '0']  Result:  5523 - 4477 - 0
['0', '0', '0', '1', '1']  vs.  ['0', '1', '0', '1', '1']  Result:  4959 - 5041 - 0
['0', '0', '0', '1', '1']  vs.  ['0', '1', '1', '0', '0']  Result:  5469 - 4531 - 0
['0', '0', '0', '1', '1']  vs.  ['0', '1', '1', '0', '1']  Result:  6092 - 3908 - 0
['0', '0', '0', '1', '1']  vs.  ['0', '1', '1', '1', '0']  Result:  5746 - 4254 - 0
['0', '0', '0', '1', '1']  vs.  ['0', '1', '1', '1', '1']  Result:  5659 - 4341 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '0', '0', '0', '0']  Result:  3733 - 6267 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '0', '0', '0', '1']  Result:  3701 - 6299 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '0', '0', '1', '0']  Result:  5301 - 4699 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '0', '0', '1', '1']  Result:  5440 - 4560 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '0', '1', '0', '0']  Result:  4616 - 5384 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '0', '1', '0', '1']  Result:  5869 - 4131 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '0', '1', '1', '0']  Result:  5283 - 4717 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '0', '1', '1', '1']  Result:  5249 - 4751 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '1', '0', '0', '0']  Result:  4151 - 5849 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '1', '0', '0', '1']  Result:  5689 - 4311 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '1', '0', '1', '0']  Result:  5309 - 4691 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '1', '0', '1', '1']  Result:  6007 - 3993 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '1', '1', '0', '0']  Result:  4975 - 5025 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '1', '1', '0', '1']  Result:  5619 - 4381 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '1', '1', '1', '0']  Result:  5463 - 4537 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '1', '1', '1', '1']  Result:  7049 - 2951 - 0
['0', '0', '1', '0', '0']  vs.  ['0', '0', '1', '0', '1']  Result:  5054 - 4946 - 0
['0', '0', '1', '0', '0']  vs.  ['0', '0', '1', '1', '0']  Result:  4960 - 5040 - 0
['0', '0', '1', '0', '0']  vs.  ['0', '0', '1', '1', '1']  Result:  5050 - 4950 - 0
['0', '0', '1', '0', '0']  vs.  ['0', '1', '0', '0', '0']  Result:  5776 - 4224 - 0
['0', '0', '1', '0', '0']  vs.  ['0', '1', '0', '0', '1']  Result:  5840 - 4160 - 0
['0', '0', '1', '0', '0']  vs.  ['0', '1', '0', '1', '0']  Result:  5211 - 4789 - 0
['0', '0', '1', '0', '0']  vs.  ['0', '1', '0', '1', '1']  Result:  4614 - 5386 - 0
['0', '0', '1', '0', '0']  vs.  ['0', '1', '1', '0', '0']  Result:  4382 - 5618 - 0
['0', '0', '1', '0', '0']  vs.  ['0', '1', '1', '0', '1']  Result:  5084 - 4916 - 0
['0', '0', '1', '0', '0']  vs.  ['0', '1', '1', '1', '0']  Result:  4708 - 5292 - 0
['0', '0', '1', '0', '0']  vs.  ['0', '1', '1', '1', '1']  Result:  4636 - 5364 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '0', '0', '0', '0']  Result:  4637 - 5363 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '0', '0', '0', '1']  Result:  4547 - 5453 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '0', '0', '1', '0']  Result:  3790 - 6210 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '0', '0', '1', '1']  Result:  5321 - 4679 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '0', '1', '0', '0']  Result:  4033 - 5967 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '0', '1', '0', '1']  Result:  5247 - 4753 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '0', '1', '1', '0']  Result:  4781 - 5219 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '0', '1', '1', '1']  Result:  4658 - 5342 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '1', '0', '0', '0']  Result:  4132 - 5868 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '1', '0', '0', '1']  Result:  4094 - 5906 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '1', '0', '1', '0']  Result:  4370 - 5630 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '1', '0', '1', '1']  Result:  5002 - 4998 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '1', '1', '0', '0']  Result:  4065 - 5935 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '1', '1', '0', '1']  Result:  4756 - 5244 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '1', '1', '1', '0']  Result:  4395 - 5605 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '1', '1', '1', '1']  Result:  6175 - 3825 - 0
['0', '0', '1', '0', '1']  vs.  ['0', '0', '1', '1', '0']  Result:  4980 - 5020 - 0
['0', '0', '1', '0', '1']  vs.  ['0', '0', '1', '1', '1']  Result:  5009 - 4991 - 0
['0', '0', '1', '0', '1']  vs.  ['0', '1', '0', '0', '0']  Result:  5052 - 4948 - 0
['0', '0', '1', '0', '1']  vs.  ['0', '1', '0', '0', '1']  Result:  4970 - 5030 - 0
['0', '0', '1', '0', '1']  vs.  ['0', '1', '0', '1', '0']  Result:  7647 - 2353 - 0
['0', '0', '1', '0', '1']  vs.  ['0', '1', '0', '1', '1']  Result:  7352 - 2648 - 0
['0', '0', '1', '0', '1']  vs.  ['0', '1', '1', '0', '0']  Result:  5009 - 4991 - 0
['0', '0', '1', '0', '1']  vs.  ['0', '1', '1', '0', '1']  Result:  5641 - 4359 - 0
['0', '0', '1', '0', '1']  vs.  ['0', '1', '1', '1', '0']  Result:  5337 - 4663 - 0
['0', '0', '1', '0', '1']  vs.  ['0', '1', '1', '1', '1']  Result:  5279 - 4721 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '0', '0', '0', '0']  Result:  4661 - 5339 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '0', '0', '0', '1']  Result:  4651 - 5349 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '0', '0', '1', '0']  Result:  3791 - 6209 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '0', '0', '1', '1']  Result:  5280 - 4720 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '0', '1', '0', '0']  Result:  5395 - 4605 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '0', '1', '0', '1']  Result:  6481 - 3519 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '0', '1', '1', '0']  Result:  6133 - 3867 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '0', '1', '1', '1']  Result:  6041 - 3959 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '1', '0', '0', '0']  Result:  4626 - 5374 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '1', '0', '0', '1']  Result:  4640 - 5360 - 0
